lineage,ksize,osf_hash,description
bacteria,21,bx6h8,"1k cover, 03-2022"
fungi,21,mspv,"1k cover, 03-2022"
archaea,21,fmx9a,"1k cover, 03-2022"
protozoa,21,x4p7z,"1k cover, 03-2022"
contam,21,ma8cf,
